BestellNr,FilialeNr,Transfer,Datum,Art,Lieferant,Artikel,ReferenzNr,ModellCode,FarbeCode,Modell,Farbe,Größe,Liefertermin,Bestellt,bestellen,stornieren,geliefert,Bestellmenge,Abrufmenge,Liefermenge,Etikettenmenge,Preis,Netto,Rabatt1,Rabatt2,ReservierteMenge,Kunde,zugesagtBis,Versand,Versandadresse,Bemerkung,anmahnen,angemahntAm,Verkäufer,BestellprotokollNr,gedruckt,Code,s_Key,s_Status
247973,0,,"2024-06-27 00:00:00",2,24,54863,163018,14500152,,"HC Hydratic Padded Jacket Wm",black,M,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
248023,0,,"2024-06-27 00:00:00",2,24,45648,127949,90702,,"Sörmland Tapered Winter Trousers Wm","dark grey","46 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
248022,0,,"2024-06-27 00:00:00",2,24,45648,127948,90702,,"Sörmland Tapered Winter Trousers Wm","dark grey","44 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
248021,0,,"2024-06-27 00:00:00",2,24,45648,127947,90702,,"Sörmland Tapered Winter Trousers Wm","dark grey","42 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
248020,0,,"2024-06-27 00:00:00",2,24,45648,127946,90702,,"Sörmland Tapered Winter Trousers Wm","dark grey","40 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
248019,0,,"2024-06-27 00:00:00",2,24,45648,127945,90702,,"Sörmland Tapered Winter Trousers Wm","dark grey","38 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
248018,0,,"2024-06-27 00:00:00",2,24,45648,127944,90702,,"Sörmland Tapered Winter Trousers Wm","dark grey","36 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247993,0,,"2024-06-27 00:00:00",2,24,54864,163025,86120,,"Expedition Lätt Hoodie Wm","dusty rose",M,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,123.2,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247992,0,,"2024-06-27 00:00:00",2,24,54864,163024,86120,,"Expedition Lätt Hoodie Wm","dusty rose",S,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,123.2,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247990,0,,"2024-06-27 00:00:00",2,24,54895,163173,84767,,"Fjällräven Tab Hat","caper green",universal,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,3.0,,,,17.5,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247960,0,,"2024-06-27 00:00:00",2,24,34366,83437,89638,,"Nikka Trouser Curved Wm",black,"40 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247974,0,,"2024-06-27 00:00:00",2,24,54863,163019,14500152,,"HC Hydratic Padded Jacket Wm",black,L,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247961,0,,"2024-06-27 00:00:00",2,24,34366,83438,89638,,"Nikka Trouser Curved Wm",black,"42 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247972,0,,"2024-06-27 00:00:00",2,24,54863,163017,14500152,,"HC Hydratic Padded Jacket Wm",black,S,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247971,0,,"2024-06-27 00:00:00",2,24,54863,163016,14500152,,"HC Hydratic Padded Jacket Wm",black,XS,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247970,0,,"2024-06-27 00:00:00",2,24,54873,163101,12500159,,"HC Hydratic Padded Trail Jacket","dark navy",XXL,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247969,0,,"2024-06-27 00:00:00",2,24,54873,163100,12500159,,"HC Hydratic Padded Trail Jacket","dark navy",XL,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247968,0,,"2024-06-27 00:00:00",2,24,54873,163099,12500159,,"HC Hydratic Padded Trail Jacket","dark navy",L,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247967,0,,"2024-06-27 00:00:00",2,24,54873,163098,12500159,,"HC Hydratic Padded Trail Jacket","dark navy",M,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247964,0,,"2024-06-27 00:00:00",2,24,34366,83441,89638,,"Nikka Trouser Curved Wm",black,"48 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247963,0,,"2024-06-27 00:00:00",2,24,34366,83440,89638,,"Nikka Trouser Curved Wm",black,"46 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247962,0,,"2024-06-27 00:00:00",2,24,34366,83439,89638,,"Nikka Trouser Curved Wm",black,"44 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247842,0,,"2024-06-27 00:00:00",2,24,54881,163159,23349,,"Skule 20",black,"20 Liter","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,46.9,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247975,0,,"2024-06-27 00:00:00",2,24,54863,163020,14500152,,"HC Hydratic Padded Jacket Wm",black,XL,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,247.1,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247858,0,,"2024-06-27 00:00:00",2,24,51741,151233,24218,,"Zip Card Holder",acorn,-,"2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,15.75,0,0.1285,,,,,0,,,0,,,18751,0,,,0
249422,0,,"2024-08-27 00:00:00",1,38,42822,116624,708101,,"Suunto A-10 NH",,-,,"2024-09-12 00:00:00",0,0,0,4.0,,,,15.75,0,0.1,,,,,0,,,0,,,19143,0,,,0
249586,0,,"2024-09-05 00:00:00",1,38,42822,116624,708101,,"Suunto A-10 NH",,-,,"2024-09-12 00:00:00",0,0,0,1.0,,,,15.75,0,0.1,,,24440,,0,,,0,,,19143,0,,,0
247062,0,,"2024-04-27 00:00:00",1,38,54745,162581,13,3910,"Morakniv Companion",desert,-,"2024-09-15 00:00:00","2024-05-10 00:00:00",0,0,0,2.0,,,,10.0,0,0.1,,,,,0,,"im Rueckstand",0,,,18941,0,,,0
249009,0,,"2024-07-23 00:00:00",1,38,53721,158773,270311,,"Nieto CHAMAN Bushcraft",,-,,,0,0,0,1.0,,,,74.95,0,0.1,,,,,0,,,0,,,0,0,,,0
247777,0,,"2024-06-27 00:00:00",2,41,45651,127966,QAH-86,,"Storm Mitt",black,M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,2.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247778,0,,"2024-06-27 00:00:00",2,41,45651,127967,QAH-86,,"Storm Mitt",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247779,0,,"2024-06-27 00:00:00",2,41,45657,127991,QAH-98,,"Storm Glove Wm",black,S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247816,0,,"2024-06-27 00:00:00",2,41,53576,157865,QFF-95,,"Ryvoan Pull-On",ebony,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247813,0,,"2024-06-27 00:00:00",2,41,45651,127968,QAH-86,,"Storm Mitt",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247774,0,,"2024-06-27 00:00:00",2,41,48996,140347,QAH-75,,"Forge 160 Glove Wm",ebony,M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,12.73,0,0.18,,,,,0,,,0,,,18765,0,,,0
247812,0,,"2024-06-27 00:00:00",2,41,44194,121857,QAH-21,,"Ridge Glove",beluga,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,2.0,,,,25.0,0,0.18,,,,,0,,,0,,,18765,0,,,0
247811,0,,"2024-06-27 00:00:00",2,41,53567,157820,QIP-10,,"Xenair Alpine Jacket Wm","orion blue",M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,123.81,0,0.09,,,,,0,,,0,,,18765,0,,,0
247810,0,,"2024-06-27 00:00:00",2,41,53567,157819,QIP-10,,"Xenair Alpine Jacket Wm","orion blue",S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,123.81,0,0.09,,,,,0,,,0,,,18765,0,,,0
247809,0,,"2024-06-27 00:00:00",2,41,50495,146100,QIP-09,,"Xenair Alpine Jacket",ebony,XXL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,123.81,0,0.09,,,,,0,,,0,,,18765,0,,,0
247808,0,,"2024-06-27 00:00:00",2,41,55040,163974,QDE-69,,"Glaceon Pro Jacket Wm","eucalyptus/green slate",M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,133.33,0,0.09,,,,,0,,,0,,,18765,0,,,0
247814,0,,"2024-06-27 00:00:00",2,41,53575,157859,QFF-95,,"Ryvoan Pull-On","deep ink",M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247769,0,,"2024-06-27 00:00:00",2,41,45658,127998,QAH-55,,"Powerstretch Contact Glove",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,4.0,,,,17.27,0,0.18,,,,,0,,,0,,,18765,0,,,0
247781,0,,"2024-06-27 00:00:00",2,41,45656,163685,QAH-99,,"Storm Mitt Wm",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
249177,0,,"2024-08-08 00:00:00",1,41,54012,159746,QFV-96,,"Torque Mountain Shorts","light khaki/army","W 34",,,1,0,0,1.0,,,,47.62,0,0.11,,,,,0,,,0,,,0,0,,,0
249176,0,,"2024-08-08 00:00:00",1,41,54019,159779,QBL-72,,"Crimp Reflection Tee",sahara,L,,,1,0,0,1.0,,,,23.81,0,0.11,,,,,0,,,0,,,0,0,,,0
247765,0,,"2024-06-27 00:00:00",2,41,50510,146168,QAA-25,,"Shadow Balaclava",black,universal,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,20.45,0,0.18,,,,,0,,,0,,,18765,0,,,0
247766,0,,"2024-06-27 00:00:00",2,41,45653,127976,QAH-40,,"Xenon Mitt",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,2.0,,,,25.0,0,0.18,,,,,0,,,0,,,18765,0,,,0
247776,0,,"2024-06-27 00:00:00",2,41,45652,127972,QAH-85,,"Storm Glove",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,2.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247768,0,,"2024-06-27 00:00:00",2,41,45658,127997,QAH-55,,"Powerstretch Contact Glove",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,8.0,,,,17.27,0,0.18,,,,,0,,,0,,,18765,0,,,0
247807,0,,"2024-06-27 00:00:00",2,41,55040,163973,QDE-69,,"Glaceon Pro Jacket Wm","eucalyptus/green slate",S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,133.33,0,0.09,,,,,0,,,0,,,18765,0,,,0
247770,0,,"2024-06-27 00:00:00",2,41,45659,127999,QAH-56,,"Powerstretch Contact Glove Wm",black,S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,17.27,0,0.18,,,,,0,,,0,,,18765,0,,,0
247771,0,,"2024-06-27 00:00:00",2,41,45659,128000,QAH-56,,"Powerstretch Contact Glove Wm",black,M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,6.0,,,,17.27,0,0.18,,,,,0,,,0,,,18765,0,,,0
247772,0,,"2024-06-27 00:00:00",2,41,45659,128001,QAH-56,,"Powerstretch Contact Glove Wm",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,17.27,0,0.18,,,,,0,,,0,,,18765,0,,,0
247773,0,,"2024-06-27 00:00:00",2,41,48996,140346,QAH-75,,"Forge 160 Glove Wm",ebony,S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,12.73,0,0.18,,,,,0,,,0,,,18765,0,,,0
247815,0,,"2024-06-27 00:00:00",2,41,53575,157860,QFF-95,,"Ryvoan Pull-On","deep ink",L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247775,0,,"2024-06-27 00:00:00",2,41,45652,127971,QAH-85,,"Storm Glove",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247767,0,,"2024-06-27 00:00:00",2,41,45653,127977,QAH-40,,"Xenon Mitt",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,25.0,0,0.18,,,,,0,,,0,,,18765,0,,,0
247786,0,,"2024-06-27 00:00:00",2,41,55043,163992,QFF-71,,"Nexus Hoody Wm","green slate",L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247794,0,,"2024-06-27 00:00:00",2,41,53572,157848,QFF-93,,"Ryvoan Jacket",ebony,S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,52.38,0,0.09,,,,,0,,,0,,,18765,0,,,0
247793,0,,"2024-06-27 00:00:00",2,41,52885,155600,QFF-72,,"Nexus Jacket","light khaki",XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247792,0,,"2024-06-27 00:00:00",2,41,52885,155599,QFF-72,,"Nexus Jacket","light khaki",L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247791,0,,"2024-06-27 00:00:00",2,41,52885,155598,QFF-72,,"Nexus Jacket","light khaki",M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247790,0,,"2024-06-27 00:00:00",2,41,49872,143980,QFF-72,,"Nexus Jacket",black,XXL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247789,0,,"2024-06-27 00:00:00",2,41,49872,143979,QFF-72,,"Nexus Jacket",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247795,0,,"2024-06-27 00:00:00",2,41,53572,157847,QFF-93,,"Ryvoan Jacket",ebony,XXL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,52.38,0,0.09,,,,,0,,,0,,,18765,0,,,0
247806,0,,"2024-06-27 00:00:00",2,41,45654,127982,QAH-39,,"Xenon Glove",black,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247787,0,,"2024-06-27 00:00:00",2,41,49872,143977,QFF-72,,"Nexus Jacket",black,M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247817,0,,"2024-06-27 00:00:00",2,41,53576,157867,QFF-95,,"Ryvoan Pull-On",ebony,XXL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247785,0,,"2024-06-27 00:00:00",2,41,55043,163991,QFF-71,,"Nexus Hoody Wm","green slate",M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247784,0,,"2024-06-27 00:00:00",2,41,55043,163990,QFF-71,,"Nexus Hoody Wm","green slate",S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,47.62,0,0.09,,,,,0,,,0,,,18765,0,,,0
247783,0,,"2024-06-27 00:00:00",2,41,55039,163970,QDE-68,,"Glaceon Pro Jacket",anthracite,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,133.33,0,0.09,,,,,0,,,0,,,18765,0,,,0
247782,0,,"2024-06-27 00:00:00",2,41,55039,163969,QDE-68,,"Glaceon Pro Jacket",anthracite,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,133.33,0,0.09,,,,,0,,,0,,,18765,0,,,0
247780,0,,"2024-06-27 00:00:00",2,41,45656,127988,QAH-99,,"Storm Mitt Wm",black,S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,2.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247788,0,,"2024-06-27 00:00:00",2,41,49872,143978,QFF-72,,"Nexus Jacket",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,42.86,0,0.09,,,,,0,,,0,,,18765,0,,,0
247804,0,,"2024-06-27 00:00:00",2,41,45654,127980,QAH-39,,"Xenon Glove",black,M,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,3.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247805,0,,"2024-06-27 00:00:00",2,41,45654,127981,QAH-39,,"Xenon Glove",black,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,4.0,,,,29.55,0,0.18,,,,,0,,,0,,,18765,0,,,0
247796,0,,"2024-06-27 00:00:00",2,41,50495,146099,QIP-09,,"Xenair Alpine Jacket",ebony,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,123.81,0,0.09,,,,,0,,,0,,,18765,0,,,0
247803,0,,"2024-06-27 00:00:00",2,41,45654,127979,QAH-39,,"Xenon Glove",black,S,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,29.55,0,0.18,,,3326,"2024-10-11 00:00:00",0,,"Für Marion (marion.antonia@gmx.de)",0,,,18765,0,,,0
247797,0,,"2024-06-27 00:00:00",2,41,55041,163979,QIP-25,,"Cirrus Alpine Jacket",army,L,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,95.24,0,0.09,,,,,0,,,0,,,18765,0,,,0
247798,0,,"2024-06-27 00:00:00",2,41,55041,163980,QIP-25,,"Cirrus Alpine Jacket",army,XL,"2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,95.24,0,0.09,,,,,0,,,0,,,18765,0,,,0
247799,0,,"2024-06-27 00:00:00",2,41,51278,149579,QSS-07,,"Solar Eco 4 Reg, LZ",firecracker,"185 cm","2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,120.0,0,0.09,,,,,0,,,0,,,18765,0,,,0
247800,0,,"2024-06-27 00:00:00",2,41,51279,149580,QSS-07,,"Solar Eco 4 XL, LZ",firecracker,"200 cm","2024-10-04 00:00:00","2024-01-16 00:00:00",0,0,0,1.0,,,,125.0,0,0.09,,,,,0,,,0,,,18765,0,,,0
